Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
34,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,24-199,1999,18,13,1125,12.5,0,0,0,0,0,0,1,0,0.6,0.6,0.3,1.0,23,22,59
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,28-014,1996,20,20,1767,19.6,1,0,1,1,0,0,3,1,1.5,1.5,0.2,1.8,10,64,3
36,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30-353,1993,21,21,1815,20.2,1,3,4,1,0,0,3,0,1.4,1.4,2.8,4.2,36,105,154
37,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20-290,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,22-015,2002,17,0,244,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,17,13,18
39,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,25-018,1999,25,23,2110,23.4,1,0,1,1,0,0,9,0,2.6,2.6,0.5,3.1,10,33,18
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28-197,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0
41,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27-188,1996,17,15,1244,13.8,1,1,2,1,0,0,3,0,0.2,0.2,0.7,0.9,36,42,27
42,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22-312,2001,27,24,1912,21.2,2,1,3,2,0,0,6,0,3.1,3.1,1.9,5.0,59,90,84
43,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25-292,1998,15,8,766,8.5,2,0,2,2,0,0,0,1,1.7,1.7,0.2,1.9,16,15,42
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25-362,1998,24,17,1568,17.4,2,1,3,2,0,0,5,0,1.1,1.1,2.3,3.4,19,50,30
45,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,30-048,1994,22,14,1267,14.1,2,0,2,2,0,2,4,0,5.0,3.4,0.9,4.4,3,20,77
46,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28-269,1995,23,21,1901,21.1,2,0,2,2,0,0,4,1,0.9,0.9,0.3,1.2,40,114,33
47,Marley Aké,fr FRA,FW,Udinese,it Serie A,23-099,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-055,1995,24,20,1753,19.5,2,2,4,2,0,0,0,0,2.1,2.1,1.2,3.3,23,103,17
49,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19-363,2004,23,12,1139,12.7,1,2,3,1,0,0,3,0,2.1,2.1,2.0,4.0,48,31,115
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,26-119,1997,19,19,1675,18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
51,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26-119,1997,8,4,440,4.9,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.5,13,11,24
52,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,19-140,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,22-048,2002,23,13,1186,13.2,7,3,10,7,0,0,2,0,4.7,4.7,1.9,6.6,28,71,104
54,Paul Akouokou,ci CIV,MF,Betis,es La Liga,26-115,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
55,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26-115,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,2
56,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,31-185,1992,15,6,512,5.7,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.5,5,7,10
57,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,22-059,2002,3,0,30,0.3,0,0,0,0,0,0,0,0,,,,,,,
58,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28-360,1995,14,8,827,9.2,0,0,0,0,0,0,7,0,0.0,0.0,0.1,0.1,7,44,8
59,David Alaba,at AUT,DF,Real Madrid,es La Liga,31-294,1992,14,14,1154,12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13
60,Luis Alberto,es ESP,MF,Lazio,it Serie A,31-198,1992,29,26,2068,23.0,4,6,10,4,0,0,6,0,3.8,3.8,4.4,8.3,70,189,109
61,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38-222,1985,22,21,1716,19.1,0,1,1,0,0,0,4,0,0.4,0.4,0.8,1.3,8,55,0
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,33-002,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
63,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,21-135,2002,5,1,193,2.1,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,6,18,4
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-348,1991,28,28,2414,26.8,2,1,3,1,1,1,13,0,2.2,1.4,1.0,2.4,19,113,28
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,27-109,1996,23,17,1520,16.9,0,1,1,0,0,0,6,1,0.6,0.6,1.0,1.6,13,69,6
66,Iván Alejo,es ESP,MF,Cádiz,es La Liga,29-063,1995,26,20,1578,17.5,0,2,2,0,0,0,16,0,0.5,0.5,1.1,1.6,41,28,94
67,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26-099,1998,24,9,894,9.9,1,1,2,1,0,0,5,0,1.2,1.2,1.5,2.7,11,16,38
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25-189,1998,21,19,1622,18.0,2,4,6,2,0,0,5,0,1.8,1.5,5.5,7.0,31,153,65
69,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,18-011,2006,3,0,14,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2
70,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,20-085,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19
71,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20-085,2004,11,6,498,5.5,0,2,2,0,0,0,0,0,0.5,0.5,1.6,2.2,31,14,50
72,Yanis Ali Issoufou,fr FRA,FW,Montpellier,fr Ligue 1,17-168,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,
73,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22-270,2001,20,8,878,9.8,4,0,4,4,0,0,3,0,1.7,1.7,0.5,2.2,40,24,67
74,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,25-055,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72
75,Alisson,br BRA,GK,Liverpool,eng Premier League,31-194,1992,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
76,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,25-053,1999,7,2,269,3.0,1,0,1,1,0,0,1,0,1.2,1.2,0.2,1.5,9,7,19
77,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,29-046,1995,27,21,1769,19.7,2,1,3,2,0,0,0,0,2.1,2.1,1.2,3.3,84,51,112
78,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,23-319,2000,10,6,522,5.8,1,1,2,1,0,0,0,0,0.2,0.2,0.7,0.9,14,25,14
79,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30-063,1994,29,23,1848,20.5,3,1,4,3,0,0,1,0,4.5,4.5,2.6,7.1,77,75,157
