Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
585,Crespo,pt POR,MF,Rayo Vallecano,es La Liga,27-215,1996,7,2,243,2.7,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,8,18,11
586,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,34-120,1989,7,3,279,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,3,21,5
587,Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,29-041,1995,30,30,2670,29.7,2,3,5,2,0,0,8,0,3.0,3.0,2.5,5.5,34,188,66
588,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31-260,1992,20,15,1406,15.6,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,15,68,25
589,Juan Cruz,ar ARG,"FW,MF",Hellas Verona,it Serie A,24-269,1999,4,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,4
590,Juan Cruz,es ESP,FW,Betis,es La Liga,23-354,2000,5,0,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,10
591,Juan Cuadrado,co COL,DF,Inter,it Serie A,35-323,1988,7,0,156,1.7,0,2,2,0,0,0,1,0,0.1,0.1,1.3,1.4,13,6,17
592,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17-082,2007,11,10,912,10.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,7,42,0
593,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,25-266,1998,13,12,1062,11.8,0,0,0,0,0,0,7,0,0.9,0.9,0.4,1.3,23,34,48
594,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,24-148,1999,23,17,1647,18.3,3,0,3,3,0,0,6,0,1.0,1.0,0.1,1.0,7,64,13
595,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,28-006,1996,19,17,1528,17.0,1,2,3,1,0,0,6,0,0.3,0.3,1.4,1.7,12,83,14
596,Matheus Cunha,br BRA,"FW,MF",Wolves,eng Premier League,24-322,1999,26,24,2012,22.4,9,6,15,8,1,1,6,0,8.2,7.4,3.1,10.5,94,65,109
597,Marvin Cuni,al ALB,FW,Frosinone,it Serie A,22-278,2001,17,6,489,5.4,1,0,1,1,0,0,0,0,1.3,1.3,0.2,1.5,5,9,40
598,Eric Curbelo,es ESP,DF,Las Palmas,es La Liga,30-090,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0
599,Tomáš Čvančara,cz CZE,FW,M'Gladbach,de Bundesliga,23-244,2000,15,6,679,7.5,4,1,5,3,1,2,3,0,4.9,3.3,0.7,4.0,8,12,32
600,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35-217,1988,19,15,1360,15.1,0,0,0,0,0,0,5,1,0.6,0.6,0.2,0.7,9,53,22
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
601,Alberto Dadie,es ESP,MF,Real Sociedad,es La Liga,21-268,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
602,Trévis Dago,ci CIV,"FW,MF",Lille,fr Ligue 1,19-083,2005,4,0,23,0.3,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.5,1,0,1
603,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-017,1998,29,29,2610,29.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,3,0
604,Mahmoud Dahoud,de GER,MF,Brighton,eng Premier League,28-103,1996,9,6,452,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6
605,Mahmoud Dahoud,de GER,MF,Stuttgart,de Bundesliga,28-103,1996,9,1,152,1.7,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,0,13,3
606,Ameen Al-Dakhil,be BEL,DF,Burnley,eng Premier League,22-038,2002,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7,35,9
607,Thijs Dallinga,nl NED,FW,Toulouse,fr Ligue 1,23-254,2000,27,22,2000,22.2,11,2,13,10,1,3,6,0,11.8,9.4,0.9,10.4,29,28,131
608,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25-026,1999,29,28,2544,28.3,1,3,4,1,0,0,6,1,1.0,1.0,2.4,3.4,45,95,93
609,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,23-285,2000,17,3,489,5.4,0,2,2,0,0,0,1,0,0.8,0.8,1.2,2.0,6,37,22
610,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,22-352,2001,14,8,744,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,8,37,2
611,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,22-350,2001,23,14,1293,14.4,1,1,2,1,0,0,4,0,0.7,0.7,0.9,1.6,16,57,20
612,Danilo,br BRA,DF,Juventus,it Serie A,32-273,1991,23,21,1912,21.2,1,1,2,1,0,0,6,0,1.0,1.0,0.7,1.7,11,122,11
613,Arnaut Danjuma,nl NED,"MF,FW",Everton,eng Premier League,27-073,1997,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24,9,44
614,Jayden Danns,eng ENG,FW,Liverpool,eng Premier League,18-088,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2
615,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25-207,1998,27,27,2430,27.0,1,0,1,1,0,0,5,0,1.6,1.6,0.3,2.0,27,122,3
616,Dante,br BRA,DF,Nice,fr Ligue 1,40-178,1983,27,27,2393,26.6,0,1,1,0,0,0,5,1,0.9,0.9,0.9,1.8,9,152,5
617,Mohammed Daramy,dk DEN,"FW,MF",Reims,fr Ligue 1,22-097,2002,25,19,1648,18.3,4,5,9,3,1,1,0,0,4.6,3.8,2.4,6.2,72,69,162
618,Sergi Darder,es ESP,MF,Mallorca,es La Liga,30-113,1993,28,17,1727,19.2,0,4,4,0,0,0,4,0,1.1,1.1,5.3,6.4,41,106,57
619,Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24-343,1999,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0
620,Matteo Darmian,it ITA,DF,Inter,it Serie A,34-133,1989,28,22,2049,22.8,2,1,3,2,0,0,2,0,1.2,1.2,1.5,2.7,15,60,65
621,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25-195,1998,15,3,450,5.0,1,1,2,1,0,0,2,0,2.3,2.3,0.9,3.2,7,14,32
622,Josh Dasilva,eng ENG,"DF,FW",Brentford,eng Premier League,25-173,1998,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,5
623,David Datro Fofana,ci CIV,FW,Burnley,eng Premier League,21-113,2002,10,8,746,8.3,4,1,5,4,0,0,1,0,3.7,3.7,1.8,5.5,16,8,32
624,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,de Bundesliga,21-113,2002,12,8,682,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,3.1,20,14,66
625,Juan David Cabal,co COL,DF,Hellas Verona,it Serie A,23-096,2001,16,11,1023,11.4,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,23,62,44
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
626,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24-090,2000,28,24,2119,23.5,16,2,18,14,2,3,2,0,15.5,13.1,2.8,15.9,43,61,164
627,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23-163,2000,23,20,1654,18.4,1,4,5,1,0,0,0,0,0.4,0.4,2.6,3.0,97,93,116
628,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,30-355,1993,16,11,1003,11.1,1,0,1,1,0,0,1,0,2.3,2.3,0.4,2.7,12,71,18
629,Tom Davies,eng ENG,MF,Sheffield Utd,eng Premier League,25-288,1998,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3
630,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26-060,1998,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4
631,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,28-329,1995,24,22,1867,20.7,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.5,10,79,5
632,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,33-343,1990,25,25,2209,24.5,1,1,2,1,0,0,7,0,1.5,1.5,1.4,2.9,1,49,4
633,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,32-290,1991,11,8,672,7.5,3,6,9,3,0,0,1,0,1.1,1.1,6.7,7.9,26,67,79
634,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,it Serie A,23-034,2001,27,20,1602,17.8,6,6,12,5,1,1,1,0,4.8,4.0,4.6,8.6,63,95,168
635,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,29-325,1994,26,19,1580,17.6,1,4,5,1,0,0,5,0,1.5,1.5,4.7,6.2,55,157,43
636,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,31-176,1992,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1
637,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,35-326,1988,13,6,578,6.4,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,8,27,8
638,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,25-313,1998,24,20,1654,18.4,0,0,0,0,0,0,7,0,0.3,0.3,0.8,1.0,20,93,63
639,Koni De Winter,be BEL,DF,Genoa,it Serie A,21-306,2002,23,20,1840,20.4,0,1,1,0,0,0,8,1,0.6,0.6,1.0,1.6,21,53,14
640,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,32-301,1991,17,6,622,6.9,1,1,2,1,0,0,0,0,0.9,0.9,1.1,2.0,6,16,35
641,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28-256,1995,21,14,1188,13.2,0,0,0,0,0,0,5,0,1.3,1.3,0.5,1.8,6,49,15
642,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28-015,1996,28,26,2186,24.3,6,7,13,3,3,3,4,0,4.8,2.5,8.2,10.7,88,126,251
643,Thomas Delaine,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,32-020,1992,22,19,1641,18.2,1,1,2,1,0,0,5,0,1.4,1.4,3.0,4.5,52,43,112
644,Sacha Delaye,fr FRA,"FW,MF",Montpellier,fr Ligue 1,21-356,2002,7,0,97,1.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,3,7
645,Hannes Delcroix,be BEL,DF,Burnley,eng Premier League,25-045,1999,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,18,6
646,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24-007,2000,23,14,1303,14.5,1,1,2,1,0,0,5,0,0.9,0.9,0.7,1.6,25,39,50
647,Karamoko Dembele,sct SCO,"MF,FW",Brest,fr Ligue 1,21-051,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3
648,Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,fr Ligue 1,26-334,1997,23,15,1342,14.9,1,8,9,1,0,0,0,0,3.7,3.7,6.1,9.8,145,123,227
649,Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,26-097,1998,17,9,684,7.6,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,7,23,13
650,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,de Bundesliga,26-019,1998,28,28,2424,26.9,15,8,23,12,3,4,5,0,12.0,8.8,3.2,12.0,21,45,138
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
651,Diego Demme,de GER,MF,Napoli,it Serie A,32-144,1991,2,1,73,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,5,0
652,Sepp van den Berg,nl NED,DF,Mainz 05,de Bundesliga,22-115,2001,27,25,2299,25.5,2,0,2,2,0,0,8,0,1.8,1.8,0.3,2.0,7,77,6
653,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,28-364,1995,8,1,119,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,3,2
654,Leander Dendoncker,be BEL,MF,Napoli,it Serie A,28-364,1995,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0
655,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27-293,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
656,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,29-054,1995,20,16,1325,14.7,0,1,1,0,0,0,2,0,1.0,0.9,0.6,1.6,24,67,76
657,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30-006,1994,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0
658,Mattia Destro,it ITA,"FW,MF",Empoli,it Serie A,33-024,1991,13,2,297,3.3,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,3,3,16
659,Samuele Di Benedetto,de GER,MF,Stuttgart,de Bundesliga,18-272,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
660,Federico Di Francesco,it ITA,"FW,MF",Lecce,it Serie A,29-304,1994,2,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3
661,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26-261,1997,28,28,2422,26.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
662,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30-253,1993,30,30,2700,30.0,1,5,6,1,0,0,6,0,2.7,2.7,4.4,7.1,75,251,206
663,Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,it Serie A,24-270,1999,11,0,234,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,8,14
664,Boulaye Dia,sn SEN,"FW,MF",Salernitana,it Serie A,27-149,1996,17,12,1143,12.7,4,0,4,3,1,1,1,0,3.9,3.1,0.5,3.6,18,22,57
665,Moussa Diaby,fr FRA,"FW,MF",Aston Villa,eng Premier League,24-281,1999,32,20,1721,19.1,5,7,12,5,0,0,1,0,5.2,5.2,5.4,10.6,76,56,158
666,Lamine Diack,sn SEN,MF,Nantes,fr Ligue 1,23-150,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
667,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,es La Liga,27-116,1996,14,12,1073,11.9,1,0,1,1,0,0,6,0,0.7,0.7,0.0,0.8,7,29,1
668,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18-204,2005,7,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,0,12
669,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23-098,2001,15,13,1156,12.8,3,1,4,3,0,0,4,0,1.0,1.0,0.8,1.8,13,62,10
670,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,20-165,2003,5,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,7,9
671,Moussa Diakité,ml MLI,MF,Cádiz,es La Liga,20-161,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
672,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20-115,2003,22,12,1130,12.6,5,1,6,5,0,1,3,0,6.3,5.6,1.1,6.6,14,18,76
673,Amad Diallo,ci CIV,FW,Manchester Utd,eng Premier League,21-277,2002,2,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,1,9
674,Amadou Diallo,eng ENG,MF,Newcastle Utd,eng Premier League,21-058,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
675,Assane Diao,es ESP,FW,Betis,es La Liga,18-219,2005,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33,20,101
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
676,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20-101,2004,26,23,1927,21.4,2,1,3,1,1,1,2,0,3.2,2.4,1.2,3.6,47,85,70
677,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,23-155,2000,17,10,968,10.8,0,1,1,0,0,0,2,0,0.4,0.4,0.6,0.9,8,49,5
678,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,26-335,1997,26,24,2199,24.4,0,0,0,0,0,0,0,0,1.1,1.1,0.3,1.4,33,158,14
679,Krépin Diatta,sn SEN,"DF,MF",Monaco,fr Ligue 1,25-048,1999,20,6,699,7.8,0,0,0,0,0,0,1,0,0.5,0.5,0.9,1.4,26,52,60
680,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,30-296,1993,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,1,0
681,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,19-056,2005,10,4,347,3.9,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.9,13,17,14
682,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24-254,1999,25,13,1159,12.9,5,3,8,5,0,0,0,0,4.6,4.6,3.8,8.4,55,55,128
683,Luis Díaz,co COL,FW,Liverpool,eng Premier League,27-091,1997,30,25,2104,23.4,8,4,12,8,0,0,2,0,10.3,10.3,4.2,14.5,105,91,233
684,Víctor Díaz,es ESP,"DF,MF",Granada,es La Liga,35-306,1988,4,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0
685,Famara Diedhiou,sn SEN,"FW,MF",Granada,es La Liga,31-120,1992,8,0,89,1.0,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.7,5,0,19
686,Justin Diehl,de GER,"FW,MF",Köln,de Bundesliga,19-138,2004,6,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,2,17
687,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,24-021,2000,14,5,485,5.4,2,1,3,2,0,0,2,0,1.9,1.9,1.4,3.3,5,4,36
688,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,30-089,1994,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0
689,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30-089,1994,10,8,761,8.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,6,39,1
690,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,22-362,2001,1,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
691,Florian Dietz,de GER,"FW,DF",Köln,de Bundesliga,25-254,1998,4,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,7
692,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,30-268,1993,27,21,1871,20.8,1,2,3,1,0,0,6,0,0.9,0.9,2.9,3.7,35,67,181
693,Federico Dimarco,it ITA,DF,Inter,it Serie A,26-155,1997,25,24,1723,19.1,5,6,11,5,0,0,0,0,2.6,2.3,7.2,9.5,45,86,172
694,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,30-110,1993,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
695,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,23-144,2000,26,21,1657,18.4,4,2,6,4,0,0,5,0,4.0,4.0,2.6,6.6,48,73,118
696,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,22-122,2001,27,27,2180,24.2,8,4,12,8,0,0,8,0,3.2,3.2,3.1,6.4,68,70,112
697,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,23-004,2001,10,10,889,9.9,0,0,0,0,0,0,2,0,1.0,1.0,0.7,1.7,5,43,0
698,Edan Diop,fr FRA,"MF,DF",Monaco,fr Ligue 1,19-229,2004,9,0,158,1.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,4,6,11
699,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27-095,1997,15,13,1155,12.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,11,64,1
700,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23-309,2000,10,6,499,5.5,0,0,0,0,0,0,0,0,1.2,1.2,0.8,2.0,20,17,43
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
701,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20-332,2003,24,16,1299,14.4,1,0,1,1,0,0,2,0,1.5,1.5,1.1,2.6,63,79,55
702,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,24-149,1999,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0
703,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26-033,1998,28,28,2480,27.6,2,0,2,2,0,0,6,0,1.5,1.5,0.3,1.8,30,111,21
704,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,20-066,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0
705,Djené,tg TOG,"DF,MF",Getafe,es La Liga,32-104,1991,26,24,1960,21.8,0,0,0,0,0,0,13,1,0.1,0.1,0.3,0.4,10,75,14
706,Koffi Djidji,ci CIV,DF,Torino,it Serie A,31-135,1992,13,8,759,8.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,19,3
707,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31-054,1993,29,28,2456,27.3,0,1,1,0,0,0,4,0,0.4,0.4,0.7,1.2,4,60,6
708,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,32-080,1992,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0
709,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,18-154,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
710,Ritsu Doan,jp JPN,"MF,DF",Freiburg,de Bundesliga,25-302,1998,24,20,1707,19.0,4,1,5,4,0,0,1,0,4.0,4.0,1.5,5.5,41,59,106
711,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,21-101,2003,11,1,210,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.7,6,3,16
712,Dodô,br BRA,DF,Fiorentina,it Serie A,25-148,1998,7,5,343,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,14,32,12
713,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25-288,1998,19,19,1710,19.0,2,0,2,2,0,0,2,0,0.8,0.8,0.2,1.0,4,50,5
714,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,32-088,1992,24,5,776,8.6,1,0,1,1,0,0,1,0,0.7,0.7,1.0,1.7,9,19,43
715,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21-331,2002,12,11,830,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,23,15,22
716,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21-331,2002,10,10,864,9.6,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.6,17,26,23
717,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,21-322,2002,22,15,1308,14.5,2,6,8,2,0,0,3,0,1.6,1.6,3.7,5.4,175,51,246
718,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21-322,2002,2,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,11,5,19
719,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23-062,2001,17,14,1244,13.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,11,44,2
720,Mario Dominguez,es ESP,FW,Valencia,es La Liga,20-063,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1
721,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25-290,1998,22,18,1385,15.4,2,2,4,2,0,0,3,0,1.3,1.3,1.0,2.3,9,81,40
722,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25-290,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,3
723,Giulio Donati,it ITA,DF,Monza,it Serie A,34-068,1990,3,0,16,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,2,2
724,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,19-101,2005,3,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
725,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,25-048,1999,23,23,1989,22.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
726,Patrick Dorgu,dk DEN,DF,Lecce,it Serie A,19-170,2004,25,10,1079,12.0,1,0,1,1,0,0,5,0,0.9,0.9,1.0,1.9,30,41,61
727,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26-089,1998,17,14,1179,13.1,0,0,0,0,0,0,5,0,0.6,0.6,0.0,0.6,10,40,9
728,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,25-183,1998,31,29,2632,29.2,2,3,5,2,0,0,4,0,2.1,2.1,2.0,4.2,7,80,2
729,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,23-029,2001,16,7,692,7.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,29,12
730,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,31-103,1993,25,25,2059,22.9,6,0,6,6,0,0,5,0,6.7,6.7,2.6,9.3,44,78,118
731,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24-096,2000,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,9,49,5
