,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
35,35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,34,23,2131,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81,110,100,0.00,0.04,0.04,0.00,0.04,0.06,0.13,0.19,0.06,0.19,Matches
36,36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11,0.00,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15,Matches
37,37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,20,14,1172,13.0,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29,102,78,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
38,38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches
39,39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches
40,40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
41,41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,30,16,1300,14.4,3,1,4,3,0,0,4,1,1.2,1.2,0.9,2.1,25,50,37,0.21,0.07,0.28,0.21,0.28,0.08,0.07,0.15,0.08,0.15,Matches
42,42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15,95,2,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03,Matches
43,43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43,0.10,0.10,0.21,0.10,0.21,0.08,0.21,0.29,0.08,0.29,Matches
44,44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,21,9,1076,12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,Matches
45,45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,17,1653,18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
46,46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
47,47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2,13,55,0.12,0.00,0.12,0.00,0.00,0.39,0.10,0.50,0.30,0.40,Matches
48,48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,17,15,1211,13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47,Matches
49,49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07,Matches
50,50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches
